Latitude,Longitude,City,Month,Day,Minutes,% of day duration,Zip
37.668721,-86.02527,Cecilia,1,15,590.76,0.41,42724
37.143908,-85.66945,Center,1,15,593.36,0.412,42214
37.410099,-87.03433,Centertown,1,15,592.05,0.411,42328
37.299591,-87.12992,Central City,1,15,592.6,0.412,42330
36.983293,-87.68273,Cerulean,1,15,594.16,0.413,42215
37.905918,-85.21241,Chaplin,1,15,589.56,0.409,40012
36.987495,-83.32795,Chappell,1,15,594.13,0.413,40816
37.350689,-83.34049,Chavies,1,15,592.33,0.411,41727
37.690636,-83.074592,Cisco,1,15,590.63,0.41,41410
37.429456,-86.16448,Clarkson,1,15,591.95,0.411,42726
37.481719,-87.8394,Clay,1,15,591.7,0.411,42404
37.846536,-83.9343,Clay City,1,15,589.85,0.41,40312
37.461944,-83.18256,Clayhole,1,15,591.78,0.411,41317
38.156248,-83.41586,Clearfield,1,15,588.29,0.409,40313
37.251296,-87.09071,Cleaton,1,15,592.84,0.412,42332
37.93462,-85.65545,Clermont,1,15,589.42,0.409,40110
37.004492,-87.152148,Clifty,1,15,594.06,0.413,42216
36.678217,-88.97559,Clinton,1,15,595.66,0.414,42031
36.889259,-83.05265,Closplint,1,15,594.61,0.413,40927
37.816771,-86.63448,Cloverport,1,15,590.01,0.41,40111
36.807137,-83.26552,Coalgood,1,15,595.01,0.413,40818
36.827233,-83.4645,Coldiron,1,15,594.91,0.413,40819
37.123196,-85.27561,Columbia,1,15,593.46,0.412,42728
36.755242,-89.10667,Columbus,1,15,595.28,0.413,42032
37.266633,-83.21226,Combs,1,15,592.75,0.412,41729
37.263348,-83.39943,Confluence,1,15,592.77,0.412,41730
36.937426,-84.1031,Corbin,1,15,594.37,0.413,40702
36.942035,-84.10685,Corbin,1,15,594.35,0.413,40701
38.484843,-84.61017,Corinth,1,15,586.61,0.407,41010
37.115385,-83.08501,Cornettsville,1,15,593.5,0.412,41731
37.743264,-87.73173,Corydon,1,15,590.39,0.41,42406
39.0752,-84.52064,Covington,1,15,583.55,0.405,41011
39.067811,-84.5039,Covington,1,15,583.59,0.405,41014
39.087593,-84.55057,Covington,1,15,583.49,0.405,41016
38.944663,-84.520501,Covington,1,15,584.23,0.406,41012
38.944663,-84.520501,Covington,1,15,584.23,0.406,41019
37.928563,-85.49036,Coxs Creek,1,15,589.45,0.409,40013
37.455879,-84.48753,Crab Orchard,1,15,591.81,0.411,40419
36.766134,-83.16117,Cranks,1,15,595.21,0.413,40820
37.336533,-88.079607,Crayne,1,15,592.42,0.411,42033
38.3386,-85.492459,Crestwood,1,15,587.36,0.408,40081
38.335106,-85.4584,Crestwood,1,15,587.38,0.408,40014
38.788439,-84.602,Crittenden,1,15,585.04,0.406,41030
37.970507,-83.125202,Crockett,1,15,589.23,0.409,41413
37.04413,-87.48219,Crofton,1,15,593.86,0.412,42217
37.185228,-82.69447,Cromona,1,15,593.15,0.412,41810
37.349023,-86.76565,Cromwell,1,15,592.35,0.411,42333
37.304661,-86.12987,Cub Run,1,15,592.57,0.412,42729
36.972292,-82.99572,Cumberland,1,15,594.2,0.413,40823
36.911107,-88.84412,Cunningham,1,15,594.52,0.413,42035
37.745491,-87.112823,Curdsville,1,15,590.37,0.41,42334
37.753533,-86.21654,Custer,1,15,590.33,0.41,40115
38.397678,-84.2939,Cynthiana,1,15,587.06,0.408,41031
37.416008,-83.993588,Dabolt,1,15,592.01,0.411,40421
37.550496,-82.6933,Dana,1,15,591.33,0.411,41615
37.644426,-84.78862,Danville,1,15,590.87,0.41,40422
37.624659,-84.845767,Danville,1,15,590.97,0.41,40423
37.587133,-82.87272,David,1,15,591.15,0.411,41616
37.183465,-87.68413,Dawson Springs,1,15,593.18,0.412,42408
36.840955,-83.37539,Dayhoit,1,15,594.84,0.413,40824
39.10941,-84.46986,Dayton,1,15,583.37,0.405,41074
38.773111,-84.44889,De Mossville,1,15,585.12,0.406,41033
37.241284,-82.75013,Deane,1,15,592.87,0.412,41812
37.775385,-82.57034,Debord,1,15,590.21,0.41,41214
37.029744,-83.08919,Delphia,1,15,593.92,0.412,41735
37.392257,-82.78204,Dema,1,15,592.12,0.411,41859
37.933123,-83.52303,Denniston,1,15,589.42,0.409,40316
38.251159,-82.83496,Denton,1,15,587.8,0.408,41132
37.771963,-82.865092,Denver,1,15,590.23,0.41,41215
36.855044,-83.739,Dewitt,1,15,594.78,0.413,40930
36.731901,-88.24594,Dexter,1,15,595.39,0.413,42036
37.370521,-83.23714,Dice,1,15,592.23,0.411,41736
37.52165,-87.69701,Dixon,1,15,591.5,0.411,42409
